File: adapter
Build ID: ba39653ab9c5c6ce56f6614d0574263b7415fde8
Type: cpu
Time: 2026-08-10 00:06:49 IST
Duration: 30.10s, Total samples = 8.54s (28.37%)
Showing nodes accounting for 6.45s, 75.53% of 8.54s total
Dropped 304 nodes (cum <= 0.04s)
      flat  flat%   sum%        cum   cum%
     0.02s  0.23%  0.23%      3.77s 44.15%  github.com/twmb/franz-go/pkg/kgo.(*broker).handleReq
         0     0%  0.23%      3.77s 44.15%  github.com/twmb/franz-go/pkg/kgo.(*broker).handleReqs
     0.01s  0.12%  0.35%      3.63s 42.51%  github.com/twmb/franz-go/pkg/kgo.(*brokerCxn).writeRequest
     0.01s  0.12%  0.47%      3.44s 40.28%  github.com/twmb/franz-go/pkg/kmsg.(*RequestFormatter).AppendRequest
     0.02s  0.23%   0.7%      3.43s 40.16%  github.com/twmb/franz-go/pkg/kgo.(*produceRequest).AppendTo
     0.03s  0.35%  1.05%      3.36s 39.34%  github.com/twmb/franz-go/pkg/kgo.seqRecBatch.appendTo
     0.03s  0.35%  1.41%      3.29s 38.52%  github.com/twmb/franz-go/pkg/kgo.(*compressor).Compress
     0.02s  0.23% 72.48%      0.05s  0.59%  github.com/twmb/franz-go/pkg/kgo.(*producer).promiseBatch
         0     0% 72.48%      0.05s  0.59%  github.com/twmb/franz-go/pkg/kgo.(*recBuf).maybeTriggerDrain
     0.01s  0.12% 72.60%      0.05s  0.59%  github.com/twmb/franz-go/pkg/kgo.(*sink).maybeDrain
     0.01s  0.12% 72.72%      0.05s  0.59%  github.com/twmb/franz-go/pkg/kmsg.(*ProduceResponse).readFrom
     0.05s  0.59% 73.30%      0.05s  0.59%  indexbytebody
         0     0% 73.30%      0.05s  0.59%  market-adapter/feeds/utils.Normalize
         0     0% 73.30%      0.05s  0.59%  runtime.(*mcache).nextFree
     0.02s  0.23% 73.54%      0.05s  0.59%  runtime.(*unwinder).initAt
         0     0% 73.54%      0.05s  0.59%  runtime.entersyscall_sysmon
     0.04s  0.47% 74.00%      0.05s  0.59%  runtime.findfunc
         0     0% 74.00%      0.05s  0.59%  runtime.funcMaxSPDelta
         0     0% 74.00%      0.05s  0.59%  runtime.gcBgMarkWorker
         0     0% 74.00%      0.05s  0.59%  runtime.gcBgMarkWorker.func2
         0     0% 74.00%      0.05s  0.59%  runtime.lock (inline)
     0.04s  0.47% 74.47%      0.05s  0.59%  runtime.lock2
         0     0% 74.47%      0.05s  0.59%  runtime.lockWithRank (inline)
     0.05s  0.59% 75.06%      0.05s  0.59%  runtime.readvarint (inline)
     0.02s  0.23% 75.29%      0.05s  0.59%  runtime.stealWork
     0.02s  0.23% 75.53%      0.05s  0.59%  sort.partition
